im2graph version 1.21 Copyright Shai Vaingast 2014-, http://www.im2graph.co.il

X, Y_0
6.35598, 15135.5
6.38269, 15135.5
6.40941, 15135.5
6.43612, 15135.5
6.46283, 15135.5
6.48955, 15135.5
6.51626, 15135.5
6.54297, 15135.5
6.56969, 15135.5
6.5964, 15135.5
6.62311, 15135.5
6.64983, 15135.5
6.67654, 15135.5
6.70325, 15135.5
6.72997, 15135.5
6.75668, 15135.5
6.78339, 15135.5
6.8101, 15135.5
6.83682, 15135.5
6.86353, 15135.5
6.89024, 15135.5
6.91696, 15135.5
6.94367, 15135.5
6.97038, 15135.5
6.9971, 15135.5
7.02381, 15135.5
7.05052, 15135.5
7.07724, 15135.5
7.10395, 15135.5
7.13066, 15135.5
7.15738, 15135.5
7.18409, 15135.5
7.2108, 15135.5
7.23751, 15135.5
7.26423, 15135.5
7.29094, 15135.5
7.31765, 15135.5
7.34437, 15135.5
7.37108, 15135.5
7.39779, 15135.5
7.42451, 15135.5
7.45122, 15135.5
7.47793, 15135.5
7.50465, 15135.5
7.53136, 15135.5
7.55807, 15135.5
7.58479, 15135.5
7.6115, 15135.5
7.63821, 15135.5
7.66492, 15135.5
7.69164, 15135.5
7.71835, 15135.5
7.74506, 15135.5
7.77178, 15135.5
7.79849, 15135.5
7.8252, 15135.5
7.85192, 15135.5
7.87863, 15135.5
7.90534, 15135.5
7.93206, 15135.5
7.95877, 15135.5
7.98548, 15135.5
8.0122, 15135.5
8.03891, 15135.5
8.06562, 15135.5
8.09233, 15135.5
8.11905, 15135.5
8.14576, 15135.5
8.17247, 15135.5
8.19919, 15135.5
8.2259, 15135.5
8.25261, 15135.5
8.27933, 15135.5
8.30604, 15135.5
8.33275, 15135.5
8.35947, 15135.5
8.38618, 15135.5
8.41289, 15135.5
8.43961, 15135.5
8.46632, 15135.5
8.49303, 15135.5
8.51974, 15135.5
8.54646, 15135.5
8.57317, 15135.5
8.59988, 15135.5
8.6266, 15135.5
8.65331, 15135.5
8.68002, 15135.5
8.70674, 15135.5
8.73345, 15135.5
8.76016, 15135.5
8.78688, 15135.5
8.81359, 15135.5
8.8403, 15135.5
8.86702, 15135.5
8.89373, 15135.5
8.92044, 15135.5
8.94715, 15135.5
8.97387, 15135.5
9.00058, 15135.5
9.02729, 15135.5
9.05401, 15135.5
9.08072, 15135.5
9.10743, 15135.5
9.13415, 15135.5
9.16086, 15135.5
9.18757, 15135.5
9.21429, 15135.5
9.241, 15135.5
9.26771, 15135.5
9.29443, 15135.5
9.32114, 15135.5
9.34785, 15135.5
9.37456, 15135.5
9.40128, 15135.5
9.42799, 15135.5
9.4547, 15135.5
9.48142, 15135.5
9.50813, 15135.5
9.53484, 15135.5
9.56156, 15135.5
9.58827, 15135.5
9.61498, 15135.5
9.6417, 15135.5
9.66841, 15135.5
9.69512, 15135.5
9.72184, 15135.5
9.74855, 15135.5
9.77526, 15135.5
9.80197, 15135.5
9.82869, 15135.5
9.8554, 15135.5
9.88211, 15135.5
9.90883, 15135.5
9.93554, 15135.5
9.96225, 15135.5
9.98897, 15135.5
10.0157, 15135.5
10.0424, 15135.5
10.0691, 15135.5
10.0958, 15135.5
10.1225, 15135.5
10.1492, 15135.5
10.176, 15135.5
10.2027, 15135.5
10.2294, 15135.5
10.2561, 15135.5
10.2828, 15135.5
10.3095, 15135.5
10.3362, 15135.5
10.363, 15135.5
10.3897, 15135.5
10.4164, 15135.5
10.4431, 15135.5
10.4698, 15135.5
10.4965, 15135.5
10.5232, 15135.5
10.5499, 15225.9
10.5767, 15225.9
10.6034, 15225.9
10.6301, 15225.9
10.6568, 15225.9
10.6835, 15225.9
10.7102, 15225.9
10.7369, 15225.9
10.7636, 15225.9
10.7904, 15225.9
10.8171, 15225.9
10.8438, 15225.9
10.8705, 15225.9
10.8972, 15225.9
10.9239, 15225.9
10.9506, 15225.9
10.9774, 15225.9
11.0041, 15225.9
11.0308, 15225.9
11.0575, 15225.9
11.0842, 15135.5
11.1109, 15135.5
11.1376, 15135.5
11.1643, 15135.5
11.1911, 15135.5
11.2178, 15135.5
11.2445, 15135.5
11.2712, 15135.5
11.2979, 15135.5
11.3246, 15135.5
11.3513, 15135.5
11.378, 15135.5
11.4048, 15135.5
11.4315, 15135.5
11.4582, 15135.5
11.4849, 15135.5
11.5116, 15135.5
11.5383, 15135.5
11.565, 15135.5
11.5918, 15135.5
11.6185, 15135.5
11.6452, 15135.5
11.6719, 15135.5
11.6986, 15135.5
11.7253, 15135.5
11.752, 15135.5
11.7787, 15135.5
11.8055, 15135.5
11.8322, 15135.5
11.8589, 15135.5
11.8856, 15135.5
11.9123, 15135.5
11.939, 15135.5
11.9657, 15225.9
11.9925, 15225.9
12.0192, 15225.9
12.0459, 15225.9
12.0726, 15135.5
12.0993, 15135.5
12.126, 15135.5
12.1527, 15135.5
12.1794, 15135.5
12.2062, 15225.9
12.2329, 15225.9
12.2596, 15225.9
12.2863, 15225.9
12.313, 15135.5
12.3397, 15135.5
12.3664, 15135.5
12.3931, 15135.5
12.4199, 15135.5
12.4466, 15135.5
12.4733, 15135.5
12.5, 15135.5
12.5267, 15135.5
