Series 1: HYD,,,Series 2: THL,,,Series 3: DRAWL,,,Series 4: DEMAND,
4.938378735,317.8717209,,6.14937662,4359.901934,,5.489478175,7829.456037,,5.122865108,9089.360191
5.026549571,317.9985855,,6.255283114,4394.586691,,5.595384669,7864.140794,,5.246355024,9106.804061
5.114618915,283.5929298,,6.361088117,4394.738929,,5.683606251,7881.533919,,5.334678097,9158.729706
5.202789751,283.7197944,,6.466943866,4412.157426,,5.842719721,8019.892355,,5.440686083,9227.946983
5.290960586,283.8466589,,6.590383036,4412.335036,,6.054380473,8037.46309,,5.546694069,9297.164261
5.379131422,283.9735234,,6.696086547,4377.954754,,6.231432586,8279.44446,,5.634864905,9297.291126
5.502875067,387.7486941,,6.784257383,4378.081618,,6.35482101,8262.355811,,5.723086487,9314.68425
5.591045903,387.8755586,,6.890062386,4378.233856,,6.443194829,8331.547715,,5.811511051,9401.142415
5.679216739,388.0024231,,7.013501556,4378.411466,,6.584369658,8366.283219,,6.023527024,9539.57697
5.767387574,388.1292876,,7.119306559,4378.563703,,6.7247833,8142.024821,,6.129433518,9574.261728
5.909069861,595.5273916,,7.225060816,4361.449681,,6.848070232,8090.403651,,6.217807337,9643.453633
5.997291443,612.9205162,,7.330865819,4361.601918,,6.936088831,8038.731735,,6.341652474,9781.761323
6.13775583,405.9283786,,7.50720749,4361.855647,,7.02446265,8107.92364,,6.447711206,9868.244861
6.31496018,699.7085288,,7.648331573,4379.324891,,7.166297174,8367.120524,,6.536085025,9937.436766
6.403181762,717.1016534,,7.912793335,4362.439224,,7.378059417,8419.223779,,6.624408098,9989.362411
6.562295233,855.46009,,8.018598337,4362.591461,,7.466230253,8419.350644,,6.74733981,9816.87742
6.668100236,855.6123274,,8.124352595,4345.477439,,7.55450258,8454.010029,,6.835510646,9817.004285
6.809173573,855.8153106,,8.230056106,4311.097156,,7.677992496,8471.453899,,6.923630735,9799.864889
6.932561997,838.7266609,,8.353546022,4328.541026,,7.854131184,8402.642588,,7.100530611,9990.047479
7.091218756,821.6887569,,8.547471115,4311.553868,,7.959834696,8368.262305,,7.259136624,9955.743315
7.21399823,597.4049864,,8.653276117,4311.706106,,8.047650311,8247.525349,,7.347358205,9973.13644
7.302169066,597.5318509,,8.75908112,4311.858343,,8.135719655,8213.119693,,7.453213954,9990.554937
7.390339902,597.6587154,,8.88252029,4312.035953,,8.276792992,8213.322677,,7.611819967,9956.250773
7.478510737,597.7855799,,8.988325293,4312.188191,,8.364760845,8144.384501,,7.717624969,9956.40301
7.654446443,459.9092284,,9.182250386,4295.201033,,8.452728697,8075.446325,,7.823328481,9922.022728
7.742465041,408.2373128,,9.305740302,4312.644903,,8.575660409,7902.961335,,7.929133484,9922.174965
7.830534385,373.8316571,,9.446813639,4312.847886,,8.663679007,7851.289419,,8.01705059,9835.970529
7.918705221,373.9585216,,9.587785485,4278.518349,,8.751951335,7885.948804,,8.122551118,9732.525206
8.041839916,270.5385716,,9.711275401,4295.96222,,8.945825682,7851.695386,,8.246041034,9749.969077
8.129960006,253.399176,,9.799496982,4313.355344,,9.033945772,7834.55599,,8.33421187,9750.095941
8.218130842,253.5260405,,9.922936152,4313.532955,,9.227870865,7817.568832,,8.422433452,9767.489066
8.306301677,253.652905,,10.0287919,4330.951452,,9.316143192,7852.228217,,8.51045205,9715.81715
8.394624751,305.5785497,,10.15223107,4331.129062,,9.404263282,7835.088821,,8.598369157,9629.612714
8.482795586,305.7054143,,10.24035116,4313.989667,,9.56352899,8025.246038,,8.704224905,9647.031212
8.570966422,305.8322788,,10.34615616,4314.141904,,9.721627545,7818.279273,,8.792497233,9681.690596
8.659137258,305.9591433,,10.46959533,4314.319515,,9.827432548,7818.431511,,8.933621316,9699.15984
8.747308094,306.0860078,,10.57540034,4314.471752,,9.915755621,7870.357155,,9.039477064,9716.578337
8.835478929,306.2128723,,10.66362192,4331.864877,,10.09219878,7905.143404,,9.180601147,9734.047581
8.994186434,306.4412284,,10.76937618,4314.750854,,10.18016664,7836.205229,,9.268873475,9768.706965
9.082357269,306.5680929,,10.87523192,4332.169351,,10.26843896,7870.864613,,9.534400898,10114.41276
9.170528105,306.6949575,,11.01620377,4297.839815,,10.40971528,7940.132637,,9.692854674,10028.30982
9.258800433,341.3543421,,11.12211026,4332.524572,,10.51546954,7923.018614,,9.798811914,10080.26083
9.45363895,635.1598651,,11.2631836,4332.727555,,10.70934389,7888.765196,,9.904870646,10166.74437
9.541809786,635.2867297,,11.38657203,4315.638906,,10.79761622,7923.424581,,9.993295211,10253.20254
9.629980621,635.4135942,,11.58054786,4315.918007,,10.92095389,7889.069671,,10.22248864,10236.26612
9.718151457,635.5404587,,11.68635287,4316.070245,,11.00917548,7906.462795,,10.25983755,10944.23353
9.859529269,739.3410023,,11.89801362,4333.64098,,11.09724482,7872.05714,,10.34597855,10253.70999
9.947801597,774.0003869,,12.00376788,4316.526957,,11.18536491,7854.917744,,10.5226247,10357.56128
10.03602318,791.3935115,,12.10952213,4299.412934,,11.27368798,7906.843389,,10.61079554,10357.68815
10.12419401,791.520376,,12.21532714,4299.565172,,11.36216329,8010.567814,,10.69901712,10375.08127
10.22999902,791.6726134,,12.3388678,4334.275302,,11.45048637,8062.493459,,10.78718795,10375.20814
10.33580402,791.8248509,,12.42703863,4334.402167,,11.53880944,8114.419103,,10.87546028,10409.86752
10.44160902,791.9770883,,12.51520947,4334.529031,,11.62687878,8080.013448,,10.96347888,10358.19561
10.63558486,792.2561902,,12.6033803,4334.655896,,11.71494813,8045.607792,,11.05164971,10358.32247
10.75902403,792.4338005,,12.70918531,4334.808133,,11.82055015,7976.694989,,11.13982055,10358.44934
10.84719487,792.560665,,12.83262448,4334.985744,,11.90882248,8011.354374,,11.2277884,10289.51116
10.9353657,792.6875295,,12.93842948,4335.137981,,11.99699331,8011.481238,,11.31600998,10306.90428
11.02353654,792.814394,,13.06186865,4335.315591,,12.10279831,8011.633476,,11.43944915,10307.08189
11.11165663,775.6749985,,13.16767365,4335.467829,,12.24382091,7994.570199,,11.5275185,10272.67624
11.23463909,620.4562682,,13.30869625,4318.404552,,12.33189025,7960.164543,,11.61563859,10255.53684
11.32275918,603.3168727,,13.43213542,4318.582162,,12.42006109,7960.291408,,11.70375868,10238.39745
11.41072703,534.3786969,,13.55557459,4318.759773,,12.5429928,7787.806417,,11.84473052,10204.06791
11.53386172,430.9587468,,13.74955042,4319.038874,,12.70195403,7874.366074,,11.95058627,10221.48641
