Series 1: DRAWAL + THL,,,Series 2: DRAWL+THL+HYD,,,,Series 3: DEMAND,
10.91579469,11353.34733,,4.281740585,11228.16321,,,6.850436158,13982.21388
11.11051723,11507.42009,,4.44181969,11285.94049,,,6.953193321,13982.21388
11.15810321,11979.26793,,4.579063869,11343.71778,,,7.067680784,14059.25026
11.5116144,11873.34291,,4.659103421,11372.60642,,,7.159020485,14059.25026
11.87716872,11921.49065,,4.784930137,11430.38371,,,7.239060037,14088.1389
12.41312468,11757.78833,,4.955957447,11372.60642,,,7.330517051,14117.02754
12.59654707,11940.74974,,5.0586364,11353.34733,,,7.433391529,14145.91619
12.97614909,11876.71233,,5.367729089,11555.56783,,,7.6049272,14213.32302
13.14360765,11700.01105,,5.505168792,11661.49286,,,7.718984511,14184.43438
13.30278735,11536.30873,,5.619460732,11690.3815,,,7.84442018,14145.91619
13.62224167,11478.53145,,5.722335209,11719.27014,,,7.992377936,14030.36161
13.82782838,11602.73973,,5.88288357,11892.602,,,8.11785271,14001.47297
14.20507973,11613.34512,,5.98610999,12008.15658,,,8.220375244,13943.69568
14.50298958,11873.34291,,6.157723872,12094.82251,,,8.300062853,13885.9184
14.83405689,11863.71336,,6.272406859,12220.00663,,,8.493729564,13779.99337
15.07448839,12027.41567,,6.375594174,12325.93165,,,8.597034194,13914.80704
15.4055557,12017.78612,,6.500951634,12268.15437,,,8.746047778,14059.25026
15.6553321,11671.1224,,6.637609241,12181.48844,,,9.043136433,14117.02754
16.02264614,12152.59979,,6.752409543,12335.5612,,,9.225737624,14097.76845
16.17025195,11950.37929,,6.912684171,12441.48623,,,9.317155534,14117.02754
16.43246254,11854.08381,,7.04992835,12499.26351,,,9.534595685,14242.21167
16.98085269,11940.74974,,7.16422029,12528.15216,,,9.626170014,14299.98895
17.27931001,12335.5612,,7.267094767,12557.0408,,,9.763414193,14357.76624
17.72408269,12210.37708,,7.427056557,12585.92944,,,9.902144353,14781.46634
18.05451638,12424.65753,,7.563987898,12566.67035,,,10.0391539,14781.46634
18.46793836,12634.07718,,7.678006104,12528.15216,,,10.11884151,14723.68906
18.70328906,12184.93151,,7.780528639,12470.37487,,,10.21022032,14733.3186
19.11724775,12268.15437,,7.905455946,12306.67256,,,10.29045539,14810.35499
19.32151072,11960.00884,,8.008174004,12297.04301,,,10.4161648,14839.24363
19.59599472,12013.69863,,8.110735643,12248.89527,,,10.51915659,14897.02092
19.96175509,12082.19178,,8.190384148,12181.48844,,,10.62179644,14868.13227
20.3721128,12008.15658,,8.486299659,11950.37929,,,10.79317569,14897.02092
20.71506683,12114.0816,,8.601060856,12094.82251,,,11.27286553,14935.53911
21.1706704,11844.45426,,8.761413694,12220.00663,,,11.37550538,14906.65046
21.61681174,12056.30432,,9.183234132,12065.93386,,,11.47834076,14925.90956
21.95964845,12133.3407,,9.286108609,12094.82251,,,11.76377732,14925.90956
22.29005098,11960.00884,,9.446187713,12152.59979,,,11.85511702,14925.90956
22.70064948,11854.08381,,9.52626637,12191.11798,,,11.93515657,14954.7982
23.09959589,11690.3815,,9.617840699,12248.89527,,,12.07181418,14868.13227
23.69279558,11565.19738,,9.76658055,12325.93165,,,12.26602836,14897.02092
23.98906304,11420.75416,,9.892407267,12383.70894,,,12.60870865,14935.53911
,,,9.97236861,12393.33849,,,12.7456791,14925.90956
,,,10.06347368,12335.5612,,,12.85973641,14897.02092
,,,10.1432786,12306.67256,,,12.98556313,14954.7982
